1	1967	I	Packers	35	Chiefs	10	N	785.69	905.11
2	1968	II	Packers	33	Raiders	14	N	905.11	943.75
3	1969	III	Jets	16	Colts	7	A	943.75	800.36
4	1970	IV	Chiefs	23	Vikings	7	A	800.36	838.92
5	1971	V	Colts	16	Cowboys	13	A	838.92	890.2
6	1972	VI	Cowboys	24	Dolphins	3	N	890.2	1020.02
7	1973	VII	Dolphins	14	Redskins	7	A	1020.02	850.86
8	1974	VIII	Dolphins	24	Vikings	7	A	850.86	616.24
9	1975	IX	Steelers	16	Vikings	6	A	616.24	852.41
10	1976	X	Steelers	21	Cowboys	17	A	852.41	1004.65
11	1977	XI	Raiders	32	Vikings	14	A	1004.65	831.17
12	1978	XII	Cowboys	27	Broncos	10	N	831.17	805.01
13	1979	XIII	Steelers	35	Cowboys	31	A	805.01	838.74
14	1980	XIV	Steelers	31	Rams	19	A	838.74	963.99
15	1981	XV	Raiders	27	Eagles	10	A	963.99	875
16	1982	XVI	49ers	26	Bengals	21	N	875	1046.54
17	1983	XVII	Redskins	27	Dolphins	17	N	1046.54	1258.64
18	1984	XVIII	Raiders	38	Redskins	9	A	1258.64	1211.57
19	1985	XIX	49ers	38	Dolphins	16	N	1211.57	1546.67
20	1986	XX	Bears	46	Patriots	10	N	1546.67	1895.95
21	1987	XXI	Giants	39	Broncos	20	N	1895.95	1938.83
22	1988	XXII	Redskins	42	Broncos	10	N	1938.83	2168.57
23	1989	XXIII	49ers	20	Bengals	16	N	2168.57	2753.2
24	1990	XXIV	49ers	55	Broncos	10	N	2753.2	2633.66
25	1991	XXV	Giants	20	Bills	19	N	2633.66	3168.83
26	1992	XXVI	Redskins	37	Bills	24	N	3168.83	3301.12
27	1993	XXVII	Cowboys	52	Bills	17	N	3301.12	3754.1
28	1994	XXVIII	Cowboys	30	Bills	13	N	3754.1	3834.44
29	1995	XXIX	49ers	49	Chargers	26	N	3834.44	5117.12
30	1996	XXX	Cowboys	27	Steelers	17	N	5117.12	6448.24
31	1997	XXXI	Packers	35	Patriots	21	N	6448.24	7908.25
32	1998	XXXII	Broncos	31	Packers	24	A	7908.25	9181.43
33	1999	XXXIII	Broncos	34	Falcons	19	A	9181.43	11497.12
34	2000	XXXIV	Rams	23	Titans	16	N	11497.12	10786.85
35	2001	XXXV	Ravens	34	Giants	7	A	10786.85	10021.5
36	2002	XXXVI	Patriots	20	Rams	17	A	10021.5	8341.63
37	2003	XXXVII	Buccaneers	48	Raiders	21	N	8341.63	10453.92
38	2004	XXXVIII	Patriots	32	Panthers	29	A	10453.92	10783.01
39	2005	XXXIX	Patriots	24	Eagles	21	A	10783.01	10717.5
40	2006	XL	Steelers	21	Seahawks	10	A	10717.5	12463.15
41	2007	XLI	Colts	29	Bears	17	A	12463.15	13264.82
42	2008	XLII	Giants	17	Patriots	14	N	13264.82	8776.39
43	2009	XLIII	Steelers	27	Cardinals	23	A	8776.39	10428.05
44	2010	XLIV	Saints	31	Colts	17	N	10428.05	11577.51
45	2011	XLV	Packers	31	Steelers	25	N	11577.51	12217.56
46	2012	XLVI	Giants	21	Patriots	17	N	12217.56	13104.14
47	2013	XLVII	Ravens	34	49ers	31	A	13104.14	16576.66
48	2014	XLVIII	Seahawks	43	Broncos	8	N	16576.66	
